id,datetime,outdoor_temperature,indoor_temperature,past_electricity,y
16,2022-10-05 15:00:00,26.34690096,23.0,2913.825,1019.475
416,2022-12-19 15:00:00,21.81912657,17.41666667,2490.95,3409.151894
366,2022-12-09 13:00:00,22.20485716,19.83333333,2134.925,3036.1125
20,2022-10-06 11:00:00,26.36219976,20.5,1077.5125,1326.05
305,2022-11-30 08:00:00,20.5,16.0,1020.4375,2010.25
442,2022-12-23 09:00:00,22.20066667,10.91666667,1482.575,840.475
57,2022-10-13 08:00:00,25.75,21.0,569.9875,443.375
205,2022-11-09 12:00:00,23.42888167,19.58333333,967.6,2621.4625
118,2022-10-24 13:00:00,25.21772464,21.75,998.8,2246.7
313,2022-12-01 08:00:00,20.0113594,16.5,2010.25,617.5875
273,2022-11-24 08:00:00,21.82753135,14.25,696.075,515.125
300,2022-11-29 11:00:00,21.39220927,16.25,1740.85,2603.85
402,2022-12-16 09:00:00,22.87598326,17.16666667,833.65,640.975
26,2022-10-07 09:00:00,26.31490879,20.58333333,598.475,783.7375
421,2022-12-20 12:00:00,21.81884926,14.58333333,2828.2,2652.5375
343,2022-12-06 14:00:00,21.25794063,17.0,2209.375,1752.55
287,2022-11-25 14:00:00,22.60510637,17.75,1118.65,1758.825
43,2022-10-11 10:00:00,23.67585538,18.75,882.425,1215.925
193,2022-11-08 08:00:00,22.93009942,18.25,434.7875,473.7875
240,2022-11-16 15:00:00,23.0,21.0,2086.575,1150.0
133,2022-10-26 12:00:00,25.62,17.51190476,1426.45,1722.625
251,2022-11-21 10:00:00,23.88347693,20.91666667,888.85,1009.425
221,2022-11-14 12:00:00,21.38,18.0,1365.3,2785.35
204,2022-11-09 11:00:00,23.4945799,19.25,857.1,1899.1375
424,2022-12-20 15:00:00,21.70242482,14.41666667,3409.151894,2738.4
23,2022-10-06 14:00:00,26.88,22.25,1473.375,1132.2875
452,2022-12-27 11:00:00,20.44978327,15.0,1855.275,1901.3
47,2022-10-11 14:00:00,25.90818078,23.25,1482.275,1275.225
249,2022-11-21 08:00:00,22.86884302,20.25,507.7,425.2875
125,2022-10-25 12:00:00,25.5,22.33333333,4200.4,1426.45
