datetime,outdoor_temperature,indoor_temperature,past_electricity,y
27-10-22 13:00,25.74123233,21.75,2280.025,4953.11655
19-12-22 11:00,22.24638352,17.25,1257.675,2744.0
22-12-22 15:00,22.45197547,14.0,2335.35,2948.0625
21-11-22 09:00,23.63573453,20.58333333,761.675,628.4
08-12-22 11:00,21.40693397,18.75,1802.25,1585.175
07-11-22 09:00,23.68265356,15.58333333,594.2,443.9375
13-12-22 15:00,21.15136377,19.41666667,1113.408824,2386.25
21-10-22 13:00,23.58968184,20.0,2193.925,998.8
28-12-22 09:00,21.64707415,12.33333333,683.75,726.725
31-10-22 09:00,23.17322992,17.33333333,468.452514,1255.35
15-11-22 15:00,22.48687532,16.25,2090.375,2086.575
01-11-22 08:00,24.01154633,14.75,459.175,584.725
23-12-22 13:00,22.77568231,16.66666667,3331.775,2996.825
14-12-22 12:00,21.95871068,17.58333333,2570.35,2864.95
18-10-22 11:00,23.56159996,19.0,1804.8,1047.95
02-12-22 10:00,22.03985167,16.75,1480.775,1389.1
02-11-22 13:00,23.97827622,21.83333333,1267.4375,1902.6125
15-11-22 11:00,21.77147302,17.25,2351.575,1397.1125
08-11-22 15:00,22.52560018,20.0,1110.55,2015.35
17-10-22 10:00,23.83110905,19.0,1143.6625,1288.15
21-12-22 10:00,19.97346565,13.91666667,1872.1875,2163.5
15-11-22 12:00,21.64973624,17.58333333,2785.35,1402.15
14-11-22 10:00,21.65630191,17.75,2399.675,1162.6
24-10-22 15:00,25.12345648,22.0,3174.725,1464.15
19-12-22 12:00,22.08093185,17.58333333,1762.4125,2828.2
25-11-22 09:00,21.83477723,15.16666667,596.475,451.4
14-11-22 14:00,21.38,18.0,1827.85,1346.925
05-12-22 14:00,20.34212827,17.5,3360.975,2209.375
08-11-22 12:00,22.77364079,19.58333333,4427.0,967.6
16-12-22 13:00,22.78489502,23.5,2351.1875,1737.8875
16-12-22 11:00,22.83043914,19.5,1565.45,1257.675
09-12-22 10:00,21.82529281,17.75,1232.225,1430.6125
28-12-22 12:00,21.96139254,16.91666667,2646.65,1526.75
10-10-22 12:00,25.77013324,22.16666667,1305.6125,992.2
27-10-22 11:00,25.60663277,19.75,2585.325,468.452514
09-12-22 12:00,22.38310145,19.16666667,1917.75,2047.95
13-12-22 11:00,21.41390753,19.25,1561.775,1247.05
24-11-22 10:00,23.31495707,17.58333333,931.625,940.55
23-11-22 12:00,22.21281147,17.25,2291.875,1329.15
13-10-22 11:00,25.78256706,21.5,1551.7875,865.025
21-10-22 15:00,23.63480404,20.58333333,1320.15,3174.725
15-11-22 09:00,22.43164063,16.58333333,615.6,770.9
16-11-22 14:00,23.0,21.0,1682.2625,1922.275
04-10-22 14:00,26.75619121,25.0,1330.4,2361.3125
06-12-22 12:00,21.24209295,16.58333333,2171.4,1683.6
21-12-22 12:00,19.84998684,14.58333333,2652.5375,2140.45
01-11-22 14:00,23.8242391,21.0,1511.5,1284.175
31-10-22 14:00,23.95627808,20.75,4160.225,1511.5
04-11-22 09:00,23.43572819,16.5,537.675,594.2
07-11-22 08:00,22.94627078,15.25,445.25,434.7875
05-10-22 10:00,26.01942308,20.91666667,618.7375,1638.325
09-12-22 08:00,20.76969697,15.75,979.6,393.1339286
20-10-22 15:00,24.28541432,21.0,1816.65,1320.15
18-10-22 09:00,23.4317311,19.41666667,949.5,1086.3
10-10-22 14:00,25.81818902,23.0,2023.85,1482.275
29-11-22 08:00,20.83266031,15.25,1130.35,1020.4375
